"","URL","CollegeName","TuitionFeesThousands","RoomBoardThousands","TotalEnrollment","SchoolType","YearFounded","Setting","Endowment2017Millions","MedianStartingSalaryOfAlumniThousands","Selectivity","Fall2017AcceptanceRate","MalePercentage","FourYearGraduationRate","TotalCostThousands"
"51","https://www.usnews.com/best-colleges/villanova-3388","Villanova University",53.458,14.02,10983,"Private, Coed",1842,"Suburban",641.3,61.2,"Most selective",0.36,0.47,0.87,67.478
"52","https://www.usnews.com/best-colleges/lehigh-university-3289","Lehigh University",52.93,13.6,7017,"Private, Coed",1865,"City",1300,65.8,"Most selective",0.25,0.55,0.76,66.53
"53","https://www.usnews.com/best-colleges/syracuse-university-2882","Syracuse University",51.853,15.55,22484,"Private, Coed",1870,"City",1300,53.6,"More selective",0.47,0.46,0.7,67.403
"54","https://www.usnews.com/best-colleges/university-of-miami-1536","University of Miami",50.226,14.108,17003,"Private, Coed",1925,"Suburban",948.6,53.4,"More selective",0.36,0.48,0.72,64.334
"55","https://www.usnews.com/best-colleges/ohio-state-6883","Ohio State University--Columbus",30.742,12.434,59837,"Public, Coed",1870,"Urban",4200,53.1,"More selective",0.48,0.52,0.59,43.176
"56","https://www.usnews.com/best-colleges/purdue-university-west-lafayette-1825","Purdue University--West Lafayette",28.804,10.03,41573,"Public, Coed",1869,"City",2300,60,"More selective",0.57,0.57,0.51,38.834
"57","https://www.usnews.com/best-colleges/rutgers-new-brunswick-6964","Rutgers University--New Brunswick",31.282,12.706,49577,"Public, Coed",1766,"City",985.5,55.6,"More selective",0.58,0.5,0.6,43.988
"58","https://www.usnews.com/best-colleges/penn-state-6965","Pennsylvania State University--University Park",34.858,11.57,47119,"Public, Coed",1855,"City",2000,56.7,"More selective",0.5,0.53,0.67,46.428
"59","https://www.usnews.com/best-colleges/smu-3613","Southern Methodist University",54.493,16.845,11789,"Private, Coed",1911,"Urban",1500,54.9,"More selective",0.49,0.5,0.71,71.338
"60","https://www.usnews.com/best-colleges/university-of-washington-3798","University of Washington",36.898,12.798,46166,"Public, Coed",1861,"Urban",3200,56.9,"More selective",0.46,0.47,0.65,49.696
"61","https://www.usnews.com/best-colleges/wpi-2233","Worcester Polytechnic Institute",50.53,14.774,6642,"Private, Coed",1865,"City",502.5,68.8,"More selective",0.48,0.64,0.82,65.304
"62","https://www.usnews.com/best-colleges/george-washington-university-1444","George Washington University",55.23,13.85,27973,"Private, Coed",1821,"Urban",1700,53.3,"More selective",0.41,0.4,0.73,69.08
"63","https://www.usnews.com/best-colleges/uconn-29013","University of Connecticut",38.098,12.874,27578,"Public, Coed",1881,"Rural",401.3,57.2,"More selective",0.48,0.5,0.7,50.972
"64","https://www.usnews.com/best-colleges/university-of-maryland-2103","University of Maryland--College Park",35.216,12.429,40521,"Public, Coed",1856,"Suburban",548.7,58.2,"More selective",0.44,0.53,0.67,47.645
"65","https://www.usnews.com/best-colleges/byu-3670","Brigham Young University--Provo",5.62,7.628,34334,"Private, Coed",1875,"City",1700,55.8,"More selective",0.52,0.51,0.23,13.248
"66","https://www.usnews.com/best-colleges/clark-university-massachusetts-2139","Clark University",45.73,9.17,3153,"Private, Coed",1887,"City",408.8,46.1,"More selective",0.56,0.39,0.77,54.9
"67","https://www.usnews.com/best-colleges/clemson-university-3425","Clemson University",36.724,10.832,24387,"Public, Coed",1889,"Suburban",682.7,55.4,"More selective",0.47,0.51,0.59,47.556
"68","https://www.usnews.com/best-colleges/texas-am-university-college-station-10366","Texas A&M University--College Station",36.636,10.436,67580,"Public, Coed",1876,"City",10800,57.9,"More selective",0.7,0.52,0.54,47.072
"69","https://www.usnews.com/best-colleges/florida-state-university-1489","Florida State University",21.673,10.458,41362,"Public, Coed",1851,"City",639.4,46.4,"More selective",0.49,0.44,0.63,32.131
"70","https://www.usnews.com/best-colleges/fordham-university-2722","Fordham University",52.248,17.969,16037,"Private, Coed",1841,"Urban",691.1,53.1,"More selective",0.46,0.42,0.74,70.217
"71","https://www.usnews.com/best-colleges/stevens-institute-of-technology-2639","Stevens Institute of Technology",52.202,15.244,6771,"Private, Coed",1870,"City",183.9,69,"Most selective",0.44,0.7,0.42,67.446
"72","https://www.usnews.com/best-colleges/university-of-california-santa-cruz-1321","University of California--Santa Cruz",41.963,16.407,19457,"Public, Coed",1965,"Suburban",188.7,52,"More selective",0.51,0.5,0.55,58.37
"73","https://www.usnews.com/best-colleges/umass-amherst-2221","University of Massachusetts--Amherst",34.57,13.202,30340,"Public, Coed",1863,"Suburban",323.6,53.9,"More selective",0.57,0.5,0.67,47.772
"74","https://www.usnews.com/best-colleges/university-of-pittsburgh-3379","University of Pittsburgh",32.052,11.05,28642,"Public, Coed",1787,"Urban",3900,53.2,"More selective",0.6,0.49,0.65,43.102
"75","https://www.usnews.com/best-colleges/university-of-minnesota-twin-cities-3969","University of Minnesota--Twin Cities",30.371,10.312,51848,"Public, Coed",1851,"Urban",3300,54.1,"More selective",0.5,0.47,0.64,40.683
"76","https://www.usnews.com/best-colleges/virginia-tech-3754","Virginia Tech",31.304,8.408,34440,"Public, Coed",1872,"Rural",987.6,60,"More selective",0.7,0.57,0.63,39.712
"77","https://www.usnews.com/best-colleges/american-university-1434","American University",48.459,14.88,13858,"Private, Coed",1893,"Suburban",622,48.5,"More selective",0.29,0.38,0.76,63.339
"78","https://www.usnews.com/best-colleges/baylor-university-6967","Baylor University",45.542,7.8,17059,"Private, Coed",1845,"City",1200,51.3,"More selective",0.39,0.41,0.6,53.342
"79","https://www.usnews.com/best-colleges/suny-binghamton-2836","Binghamton University--SUNY",24.488,15.058,17342,"Public, Coed",1946,"Suburban",109.3,55.4,"More selective",0.4,0.51,0.73,39.546
"80","https://www.usnews.com/best-colleges/colorado-school-of-mines-1348","Colorado School of Mines",38.584,13.169,6117,"Public, Coed",1874,"Suburban",246.1,69.7,"More selective",0.56,0.71,0.55,51.753
"81","https://www.usnews.com/best-colleges/north-carolina-state-raleigh-2972","North Carolina State University--Raleigh",28.444,11.078,34432,"Public, Coed",1887,"City",1100,55.4,"More selective",0.51,0.55,0.5,39.522
"82","https://www.usnews.com/best-colleges/stony-brook-suny-2838","Stony Brook University--SUNY",26.934,13.698,25989,"Public, Coed",1957,"Suburban",234,54.4,"More selective",0.42,0.53,0.53,40.632
"83","https://www.usnews.com/best-colleges/tcu-3636","Texas Christian University",46.95,12.804,10489,"Private, Coed",1873,"Suburban",1500,51.2,"More selective",0.41,0.41,0.69,59.754
"84","https://www.usnews.com/best-colleges/yeshiva-university-2903","Yeshiva University",43.5,12.25,6311,"Private, Coed",1886,"Urban",506.2,53.4,"More selective",0.63,0.53,0.76,55.75
"85","https://www.usnews.com/best-colleges/michigan-state-2290","Michigan State University",39.75,10.272,50019,"Public, Coed",1855,"Suburban",3100,52.2,"More selective",0.72,0.49,0.52,50.022
"86","https://www.usnews.com/best-colleges/university-of-california-riverside-1316","University of California--Riverside",42.879,16,23278,"Public, Coed",1954,"City",231.1,50.7,"More selective",0.57,0.46,0.53,58.879
"87","https://www.usnews.com/best-colleges/university-of-san-diego-10395","University of San Diego",49.358,12.98,8905,"Private, Coed",1949,"Urban",503.6,54,"More selective",0.5,0.46,0.7,62.338
"88","https://www.usnews.com/best-colleges/howard-university-1448","Howard University",26.756,13.895,9392,"Private, Coed",1867,"Urban",646.6,51.5,"Selective",0.41,0.31,0.43,40.651
"89","https://www.usnews.com/best-colleges/indiana-university-bloomington-1809","Indiana University--Bloomington",35.456,10.465,43710,"Public, Coed",1820,"City",1100,49.7,"More selective",0.76,0.51,0.63,45.921
